Date : 2025-12-02 22:13:04
Directory : d:\root\dev\js\volunteer-hub
Total : 110 files,  9820 codes, 228 comments, 1647 blanks, all 11695 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\app.html                               | HTML               |         11 |          0 |          1 |         12 |
| d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\lib\server\index.ts                    | TypeScript         |          9 |          1 |          3 |         13 |
| d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\(authed)\+layout.server.ts      | TypeScript         |          7 |          0 |          2 |          9 |
| d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\(authed)\+layout.svelte         | Svelte             |          7 |          0 |          3 |         10 |
| d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\(authed)\dashboard\+page.svelte | Svelte             |          1 |          0 |          1 |          2 |
| d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\+layout.svelte                  | Svelte             |          9 |          0 |          3 |         12 |
| d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\+page.svelte                    | Svelte             |          1 |          0 |          1 |          2 |
| d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\login\+page.server.ts           | TypeScript         |         20 |          3 |          7 |         30 |
| d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\login\+page.svelte              | Svelte             |         24 |          0 |          7 |         31 |
| d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\logout\+page.server.ts          | TypeScript         |          9 |          0 |          2 |         11 |
| d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\register\+page.server.ts        | TypeScript         |         22 |          0 |          6 |         28 |
| d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\register\+page.svelte           | Svelte             |         37 |          0 |         10 |         47 |
| d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\svelte.config.js                           | JavaScript JSX     |          9 |          9 |          4 |         22 |
| d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\tsconfig.json                              | JSON with Comments |         14 |         11 |          1 |         26 |
| d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\vite.config.ts                             | TypeScript         |         35 |          1 |          2 |         38 |
| Total                                                                                              |                    |      9,820 |        228 |      1,647 |     11,695 |
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
